"Área Programática, Regiões","População","","","","","","","","","","","","","","","","","","","","","","","","S E M A","N A","E P I D","E M I","O L Ó G","I C A","","","","","","","","","","","","","","","","","","","","","","","","Total"
"Administrativas e Bairros","Censo 2010","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52",""
"Abolição","11356","2","0","0","1","0","1","2","1","2","1","2","1","2","3","6","6","2","1","1","0","0","1","2","1","1","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","44"
"Pilares","27250","0","1","1","1","6","1","3","2","2","4","11","11","15","12","9","12","4","3","2","1","1","2","2","1","2","0","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","117"
"XXVIII Jacarezinho","37 839","1","0","1","0","0","0","1","0","1","0","0","1","5","2","2","2","1","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Jacarezinho","37 839","1","0","1","0","0","0","1","0","1","0","0","1","5","2","2","2","1","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Área Programática 3.3","942 638","93","66","62","54","76","72","106","89","125","185","150","195","395","295","272","208","210","136","100","63","67","56","69","27","33","26","26","29","23","23","15","7","5","7","16","10","11","12","10","8","11","4","8","6","8","18","18","21","27","19","17","18","3607"
"XIV Irajá","202 952","14","17","13","17","21","28","42","27","47","56","27","46","89","50","74","52","42","47","26","13","14","17","18","13","10","10","5","8","11","3","5","1","1","2","5","3","4","6","3","3","7","1","2","4","4","14","7","8","8","5","4","11","965"
"Vila Kosmos","18274","0","0","1","3","1","6","9","2","4","4","6","14","19","18","23","11","4","14","3","6","0","1","3","2","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","1","162"
"Vicente de Carvalho","24964","3","0","1","2","2","2","2","4","5","5","5","8","20","5","17","14","4","5","5","0","0","1","1","1","0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","3","124"
"Vila da Penha","25465","3","4","3","2","0","3","7","1","6","4","4","4","10","7","5","3","4","2","4","3","4","1","2","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","93"
"Vista Alegre","8622","2","2","1","2","3","4","7","4","9","5","2","3","8","2","3","1","0","1","1","1","0","1","1","2","1","2","0","0","1","0","1","0","0","0","1","0","0","0","0","0","3","0","0","0","0","1","0","0","1","3","1","0","80"
"Irajá","96382","1","1","2","4","13","6","11","10","15","26","9","10","12","10","14","15","17","23","10","3","9","10","10","6","7","6","5","4","7","0","2","1","0","1","4","2","2","3","1","2","2","1","1","2","1","4","5","3","5","2","2","5","327"
"Colégio","29245","5","10","5","4","2","7","6","6","8","12","1","7","20","8","12","8","13","2","3","0","1","3","1","2","1","0","0","1","2","1","1","0","0","1","0","0","2","2","2","0","2","0","0","1","1","7","1","4","1","0","1","2","179"
"XV Madureira","372 555","41","19","28","22","34","22","37","29","43","80","60","80","145","106","119","100","103","49","34","29","30","21","33","8","4","12","15","14","6","12","8","5","3","3","4","2","6","2","5","5","2","1","2","1","3","1","5","4","6","3","5","1","1412"
"Campinho","10156","1","0","2","1","0","0","2","0","2","7","1","6","16","16","11","11","11","6","1","0","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","103"
"Quintino Bocaiúva","31185","3","0","2","1","4","2","2","0","2","3","4","8","9","5","4","6","7","5","4","0","2","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","77"
"Cavalcanti","16141","0","2","0","2","3","2","0","2","2","0","2","2","2","7","6","1","5","3","1","1","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","52"
"Engenheiro Leal","6113","0","0","0","0","0","0","0","0","1","1","1","0","0","2","1","2","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Cascadura","34456","2","2","2","1","2","1","4","2","1","5","3","6","10","13","11","8","9","0","2","4","5","0","0","1","0","1","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","103"
"Madureira","50106","5","3","3","3","7","6","3","6","4","10","8","15","22","11","23","21","23","10","9","7","9","4","5","1","0","3","2","3","3","2","2","0","2","0","1","0","0","0","1","1","1","1","0","0","0","0","2","1","1","0","0","1","245"
"Vaz Lobo","15167","1","2","2","0","0","0","3","4","4","6","7","13","16","7","12","5","4","2","0","1","1","2","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","97"
"Turiaçu","17246","3","0","2","2","4","2","5","3","3","7","0","5","7","3","3","1","1","0","0","2","0","2","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","64"
"Rocha Miranda","44188","16","5","7","5","7","5","10","8","13","15","13","16","37","14","17","15","13","4","8","6","3","4","6","2","2","3","4","3","1","3","2","2","1","2","0","0","2","1","0","0","1","0","1","0","1","0","0","1","2","1","1","0","283"
"Honório Gurgel","21989","3","0","0","1","0","1","2","0","0","1","0","4","3","2","0","0","1","4","0","2","2","1","5","2","0","3","0","2","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","45"
"Oswaldo Cruz","34040","2","1","1","3","4","3","0","0","5","8","5","3","8","15","12","15","10","6","6","3","1","2","4","0","1","0","2","0","1","0","0","1","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","128"
"Bento Ribeiro","43707","2","1","1","1","1","0","2","2","6","12","9","2","10","5","12","6","14","2","0","1","3","3","1","1","0","0","2","3","0","2","1","0","0","0","0","1","2","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","111"
"Marechal Hermes","48061","3","3","6","2","2","0","4","2","0","5","7","0","5","6","7","9","5","6","1","2","1","0","4","0","0","1","0","1","0","2","1","0","0","0","2","0","1","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","92"
"XXII Anchieta","158 318","12","4","7","8","7","11","11","10","12","15","17","27","46","38","29","16","19","10","9","8","6","1","8","4","3","2","1","0","0","1","1","1","1","1","3","0","1","1","1","0","0","0","1","1","0","0","2","6","10","7","3","6","388"
"Guadalupe","47144","9","1","1","3","1","2","3","1","2","4","7","5","13","14","11","4","9","5","4","2","4","1","6","1","3","2","0","0","0","1","0","1","1","1","3","0","1","0","0","0","0","0","1","0","0","0","2","0","2","0","1","2","134"

"AnchietaParque Anchieta","5565226212","10","30","41","22","40","42","34","62","53","92","80","173","224","154","134","83","71","41","41","20","20","00","20","00","00","00","01","00","00","00","00","00","00","00","00","00","00","10","10","00","00","00","00","10","00","00","00","31","60","01","10","20","16040"
"Ricardo de Albuquerque","29310","2","0","1","1","2","3","1","1","2","0","2","2","7","5","1","1","2","0","0","4","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","6","1","2","54"
"XXV Pavuna","208 813","26","26","14","7","14","11","16","23","23","34","46","42","115","101","50","40","46","30","31","13","17","17","10","2","16","2","5","7","6","7","1","0","0","1","4","5","0","3","1","0","2","2","3","0","1","3","4","3","3","4","5","0","842"
"Coelho Neto","32423","4","3","2","0","1","4","3","2","2","0","4","5","15","11","13","10","15","4","1","3","6","5","1","2","7","1","1","4","1","2","0","0","0","1","0","1","0","1","1","0","0","0","1","0","1","0","2","0","1","0","1","0","142"
"Acari","27347","0","0","0","0","0","2","2","5","3","5","2","4","8","0","4","5","4","3","2","0","1","2","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","1","0","3","1","2","0","0","65"
"Barros Filho","14049","3","4","0","1","0","0","0","1","0","1","2","3","5","2","1","0","2","2","1","1","3","2","2","0","3","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","45"
"Costa Barros","28442","9","9","9","3","4","1","4","8","11","12","20","24","45","48","6","2","4","9","9","7","3","4","2","0","3","0","1","0","2","3","1","0","0","0","1","3","0","0","0","0","0","0","0","0","0","2","1","0","0","2","2","0","274"
"Pavuna","97350","10","10","3","3","9","4","7","7","7","16","18","6","42","40","26","23","21","12","18","2","4","4","5","0","3","0","1","2","3","1","0","0","0","0","2","0","0","1","0","0","1","0","1","0","0","0","1","0","1","0","2","0","316"
"Parque Columbia","9 202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Área Programática 4.0","909368","118","121","126","129","108","115","136","126","135","119","131","153","211","176","123","111","287","104","107","68","36","42","63","13","7","6","2","2","5","6","3","1","2","7","1","5","1","6","0","0","0","4","6","1","4","5","7","10","11","9","4","8","2981"
"XVI Jacarepaguá","572030","73","75","67","77","45","68","83","67","70","80","78","77","146","118","85","74","243","69","76","53","25","28","42","3","2","5","1","1","3","4","2","0","2","3","0","1","1","4","0","0","0","2","5","0","1","2","6","8","8","4","1","5","1893"
"Jacarepaguá","157326","17","13","16","17","10","11","19","11","10","9","10","12","14","8","11","11","25","9","8","7","7","3","7","0","1","2","0","1","0","1","0","0","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","2","3","1","0","4","286"
"Anil","24172","10","13","9","5","2","7","9","6","5","5","10","6","4","9","3","4","4","3","3","0","1","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","2","0","0","0","127"
"Gardênia Azul","17715","5","4","3","3","4","4","4","6","4","8","4","7","4","4","6","5","12","2","9","6","2","3","3","0","0","0","0","0","0","1","2","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","120"
"Curicica","31189","9","12","5","15","6","6","4","4","11","7","12","6","15","10","11","12","29","15","8","3","1","2","7","0","0","1","1","0","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","3","0","1","0","223"
"Freguesia (Jacarepaguá)","70511","8","7","9","6","6","9","6","5","7","9","1","4","5","11","7","1","6","4","9","1","2","2","4","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","2","2","0","0","0","0","139"
"Pechincha","34709","2","2","3","2","0","8","6","6","4","6","4","13","18","6","3","8","18","8","5","2","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","131"
"Taquara","102126","7","12","16","19","6","16","18","14","11","17","17","9","35","20","11","10","73","14","18","20","7","10","7","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","394"
"Tanque","37856","3","4","1","5","3","2","4","4","6","4","3","5","21","8","12","5","29","7","6","5","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","143"
"Praça Seca","64147","7","3","2","4","4","3","7","5","5","10","10","10","21","31","13","11","33","5","6","8","2","1","5","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","210"
"Vila Valqueire","32279","5","5","3","1","4","2","6","6","7","5","7","5","9","11","8","7","14","2","4","1","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","120"
"XXXIV Cidade De Deus","36515","1","2","8","9","6","1","5","2","8","6","12","13","10","6","6","5","15","12","9","6","4","3","12","0","0","0","1","0","0","0","0","1","0","3","1","2","0","2","0","0","0","0","0","0","2","2","0","1","1","2","1","1","181"
"Cidade de Deus","36515","1","2","8","9","6","1","5","2","8","6","12","13","10","6","6","5","15","12","9","6","4","3","12","0","0","0","1","0","0","0","0","1","0","3","1","2","0","2","0","0","0","0","0","0","2","2","0","1","1","2","1","1","181"
"XXIV Barra Da Tijuca","300823","44","44","51","43","57","46","48","57","57","33","41","63","55","52","32","32","29","23","22","9","7","11","9","10","5","1","0","1","2","2","1","0","0","1","0","2","0","0","0","0","0","2","1","1","1","1","1","1","2","3","2","2","907"
"Joá","818","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Itanhangá","38415","6","3","13","3","5","7","7","7","5","3","4","7","6","3","3","7","5","2","1","1","1","3","4","2","3","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","117"
"Barra da Tijuca","135924","17","22","11","10","23","16","17","13","13","5","7","16","10","5","6","5","10","6","4","2","4","3","2","2","1","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","237"
"Camorim","1970","1","0","1","2","1","2","0","0","0","1","1","0","2","3","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Vargem Pequena","27250","4","5","5","9","7","4","2","0","2","5","8","4","4","13","6","3","0","1","5","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","91"
"Vargem Grande","14039","3","2","4","6","7","8","7","6","5","7","5","8","6","6","4","3","6","4","5","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","0","113"
"Recreio dos Bandeirantes","82240","13","12","17","12","14","9","15","31","32","12","16","28","27","22","13","13","8","9","7","3","0","3","2","5","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","2","0","0","1","331"
"Grumari","167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Área Programática 5.1","671041","49","28","34","41","37","50","99","103","99","104","151","199","422","491","615","525","503","284","306","207","111","95","64","38","35","19","9","5","12","2","2","2","0","0","0","1","1","0","0","1","3","1","1","3","3","2","7","6","7","7","19","10","4813"
"XXXIII Realengo","243006","18","12","15","14","11","14","22","33","28","51","51","67","166","176","223","161","166","78","77","53","37","25","12","6","6","5","2","2","3","1","1","1","0","0","0","1","0","0","0","0","1","0","0","2","0","1","3","2","2","1","8","2","1560"
"Deodoro","10842","2","0","0","2","2","0","1","2","2","0","1","1","4","3","3","6","1","0","1","1","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","37"
"Vila Militar","13184","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Campo dos Afonsos","1365","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Jardim Sulacap","13062","2","3","2","2","0","1","6","3","5","6","3","4","11","12","9","15","14","9","7","3","2","2","4","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128"
"Magalhães Bastos","24430","3","0","2","4","2","1","1","5","4","10","6","4","14","8","18","9","11","4","2","5","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","120"
"Realengo","180123","10","9","11","6","6","12","14","23","17","34","41","58","137","153","192","130","140","65","62","44","30","21","8","6","4","5","2","1","3","1","0","0","0","0","0","1","0","0","0","0","1","0","0","2","0","1","2","2","0","0","8","2","1264"
"XVII Bangu","428035","31","16","19","27","26","36","77","70","71","53","100","132","256","315","392","364","337","206","229","154","74","70","52","32","29","14","7","3","9","1","1","1","0","0","0","0","1","0","0","1","2","1","1","1","3","1","4","4","5","6","11","8","3253"
"Padre Miguel","64228","2","3","2","5","3","10","11","10","8","9","18","21","38","44","61","55","53","8","17","11","6","4","2","1","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","3","0","417"
"Bangu","243125","17","8","12","13","15","14","43","35","35","30","58","75","154","170","225","176","185","120","127","75","37","40","34","15","12","8","6","1","3","1","0","1","0","0","0","0","1","0","0","0","2","1","0","1","0","1","3","3","1","2","3","5","1768"
"Senador Camará","105515","12","5","5","9","8","12","23","25","28","14","24","36","64","101","106","133","99","78","85","68","31","26","16","16","14","4","1","2","5","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","3","0","0","0","1","3","5","3","1068"
"Gericino","15167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Área Programática 5.2","665198","52","19","30","22","26","28","30","34","35","30","43","49","73","75","77","73","65","90","67","55","41","44","25","35","25","29","23","17","8","15","13","9","12","3","5","4","8","5","3","5","6","7","12","6","8","11","13","11","16","16","23","15","1446"
"XVIII Campo Grande","542084","35","9","16","9","13","20","17","17","23","22","24","35","42","40","60","46","44","58","35","35","33","37","20","26","22","24","19","13","8","10","10","6","9","2","3","3","8","2","2","4","6","5","9","4","5","11","13","9","13","10","19","14","979"
"Santíssimo","41458","1","0","0","1","3","2","3","3","4","2","5","6","4","5","14","10","11","11","7","8","7","2","4","2","3","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","2","0","2","1","130"
"Campo Grande","328370","15","7","13","4","5","5","9","3","10","9","6","15","12","12","14","11","15","31","13","14","18","24","10","13","14","9","8","11","4","9","7","4","9","1","2","1","2","1","2","4","4","2","8","3","4","8","10","5","7","6","15","11","459"
"Senador Vasconcelos","30600","10","1","1","0","1","6","1","8","2","4","7","6","4","2","5","5","1","0","4","8","2","4","0","6","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","96"
"Inhoaíba","64649","4","0","0","0","1","3","3","2","2","5","5","3","16","16","14","7","5","6","7","5","3","3","2","2","0","6","3","2","1","0","0","0","0","1","0","0","3","1","0","0","2","0","0","0","0","2","1","0","2","1","0","0","139"
"Cosmos","77007","5","1","2","4","3","4","1","1","5","2","1","5","6","5","13","13","12","10","4","0","3","4","4","3","3","5","5","0","2","0","3","2","0","0","1","2","3","0","0","0","0","3","0","1","0","1","2","3","2","3","2","1","155"
"XXVI Guaratiba","123114","17","10","14","13","13","8","13","17","12","8","19","14","31","35","17","27","21","32","32","20","8","7","5","9","3","5","4","4","0","5","3","3","3","1","2","1","0","3","1","1","0","2","3","2","3","0","0","2","3","6","4","1","467"
"Guaratiba","110049","16","10","9","13","9","7","7","15","12","4","17","12","23","32","15","24","17","27","27","16","7","7","5","6","2","4","4","3","0","4","3","3","2","1","1","0","0","3","1","1","0","1","3","1","3","0","0","2","3","5","4","1","392"
"Barra de Guaratiba","3577","0","0","4","0","2","0","2","1","0","1","0","0","2","1","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Pedra de Guaratiba","9488","1","0","1","0","2","1","4","1","0","3","2","2","6","2","1","3","3","5","4","4","1","0","0","3","0","1","0","1","0","1","0","0","1","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","58"
"Área Programática 5.3","368534","15","11","11","17","24","23","36","28","32","58","57","71","126","98","122","94","64","74","62","37","24","38","26","31","19","18","17","19","9","6","3","2","6","2","4","5","3","3","0","6","2","13","8","2","11","6","11","21","14","13","14","8","1424"
"XIX Santa Cruz","368534","15","11","11","17","24","23","36","28","32","58","57","71","126","98","122","94","64","74","62","37","24","38","26","31","19","18","17","19","9","6","3","2","6","2","4","5","3","3","0","6","2","13","8","2","11","6","11","21","14","13","14","8","1424"
"Paciência","94626","5","2","2","2","0","2","13","3","5","10","8","22","37","28","42","38","28","26","17","12","4","9","4","7","3","9","5","4","3","1","0","0","1","1","1","3","0","0","0","3","0","2","1","1","0","0","0","1","2","1","2","1","371"
"Santa Cruz","217333","5","7","8","13","19","17","19","24","21","45","31","44","78","62","72","49","29","23","20","11","9","17","13","15","12","9","8","10","6","4","3","2","5","1","2","2","1","2","0","3","2","10","7","1","10","6","7","19","11","11","11","7","823"
"Sepetiba","56575","5","2","1","2","5","4","4","1","6","3","18","5","11","8","8","7","7","25","25","14","11","12","9","9","4","0","4","5","0","1","0","0","0","0","1","0","2","1","0","0","0","1","0","0","1","0","4","1","1","1","1","0","230"

