Áreas de Planejamento, Regiões Administrativas e Bairros,População Censo 2000,Semana 01,Semana 02, Semana 03, Semana 04, Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10, Semana 11, Semana 12, Semana 13, Semana 14, Semana 15, Semana 16,Semana 17, Semana 18, Semana 19,Semana 20, Semana 21, Semana 22, Semana 23,Semana 24,Semana 25,Semana 26, Semana 27,Semana 28, Semana 29, Semana 30,Semana 31,Semana 32,Semana 33, Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42, Semana 43,Semana 44,Semana 45,Semana 46, Semana 47, Semana 48, Semana 49,Semana 50,Semana 51,Semana 52
ENGENHO DA RAINHA, 27 521,5,12,31,36,31,47,49,52,68,76,63,50,25,12,2,9,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,6,4,1,1,0,
TOMAS COELHO, 22 183,11,8,14,11,23,19,22,24,22,30,29,19,11,3,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,
XIII MÉIER, 389 673,118,177,384,494,568,661,906,1031,652,622,519,343,254,172,108,42,39,28,21,17,7,1,6,1,0,1,0,3,2,1,2,2,4,3,0,0,1,0,2,2,1,3,4,2,2,13,8,14,14,4,7,5,
SÃO FRANCISCO XAVIER, 7 814,0,2,3,2,5,4,2,4,4,3,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ROCHA, 9 356,4,2,10,16,10,11,10,10,10,6,13,8,3,2,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
RIACHUELO, 12 360,4,5,11,9,22,15,21,20,13,12,16,7,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,1,
SAMPAIO, 9 506,3,1,3,2,7,5,7,10,6,4,7,0,5,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENGENHO NOVO, 42 751,17,18,26,39,74,91,70,71,57,51,43,27,20,22,7,8,6,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,
JACARÉ, 7 056,  1,  1,  9,  20,  16,  11,  6,  18,  20,  18,  22,  6,  5,  12,  6,  3,  3,  0,  2,  1,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  4,  2,  0,  1,  0,
LINS DE VASCONCELOS, 34 679,9,9,30,40,72,75,79,110,90,77,51,29,19,24,12,4,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,2,0,1,0,
MÉIER, 49 777,16,30,48,50,62,102,152,208,114,128,101,58,45,30,12,5,5,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,5,0,0,0,
TODOS OS SANTOS, 22 983,2,0,7,10,4,8,17,24,8,18,18,7,3,7,3,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CACHAMBI, 40 884,6,19,26,22,17,35,65,74,25,37,31,28,16,7,7,2,6,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,
ENGENHO DE DENTRO, 46 460,13,17,47,62,84,106,164,167,107,97,60,55,33,20,11,3,1,7,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,2,1,0,2,3,1,1,1,2,0,0,
ÁGUA SANTA, 6 506,4,5,13,15,27,16,41,36,22,16,17,9,8,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
ENCANTADO, 14 328,5,6,6,13,12,35,43,37,13,18,13,12,6,10,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,
PIEDADE, 43 999,21,39,56,69,59,62,98,104,71,62,57,56,49,21,18,9,6,0,2,5,1,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,
ABOLIÇÃO, 12 346,4,5,34,51,28,26,52,54,39,27,13,15,8,3,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,
PILARES, 28 868,9,18,55,74,69,59,79,84,53,48,53,23,29,7,18,2,2,4,3,0,3,0,2,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,
XXVIII JACAREZINHO, 33 655,  4,  4,  12,  19,  17,  12,  9,  17,  29,  32,  30,  19,  7,  5,  3,  3,  4,  3,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  1,  0,  0,  0,  0,  1,  0,  0,  0,  0,
JACAREZINHO, 33 655,  4,  4,  12,  19,  17,  12,  9,  17,  29,  32,  30,  19,  7,  5,  3,  3,  4,  3,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  1,  0,  0,  0,  0,  1,  0,  0,  0,  0,
ÁREA DE PLANEJAMENTO 3.3, 973 761,  203,  565, 1 179,  874,  865,  903,  642,  547,  719, 1 178, 1 039,  684,  385,  241,  155,  80,  67,  45,  33,  25,  16,  9,  7,  7,  7,  7,  4,  3,  3,  2,  1,  3,  3,  6,  4,  0,  2,  9,  2,  2,  3,  5,  4,  13,  22,  21,  20,  37,  28,  33,  22,  18,
XIV IRAJÁ, 202 286,  61,  128,  252,  178,  179,  262,  111,  80,  159,  231,  197,  117,  64,  42,  21,  13,  11,  11,  2,  0,  0,  0,  2,  0,  2,  2,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  1,  1,  2,  0,  1,  0,  0,  1,  2,  2,  0,  2,  2,  1,  2,  1,
VILA KOSMOS, 18 562,5,5,6,3,9,8,0,0,9,11,8,7,3,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
VICENTE DE CARVALHO, 22 848,4,14,28,15,18,20,11,5,8,10,21,12,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
VILA DA PENHA, 23 741,7,17,48,29,29,49,24,20,29,43,33,21,16,10,5,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
VISTA ALEGRE, 8 224,3,11,27,22,14,23,11,8,18,36,32,5,5,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,
IRAJÁ, 103 265,36,73,112,81,92,135,47,33,76,109,85,56,29,16,12,8,5,2,1,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,1,
COLÉGIO, 25 645,6,8,31,28,17,27,18,14,19,22,18,16,6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
XV MADUREIRA, 381 138,  113,  249,  546,  398,  477,  436,  362,  310,  304,  511,  456,  328,  182,  107,  78,  38,  26,  14,  13,  6,  9,  2,  3,  6,  3,  1,  2,  2,  1,  0,  1,  1,  1,  3,  4,  0,  1,  2,  0,  2,  2,  3,  2,  9,  13,  12,  11,  18,  21,  24,  17,  14,
CAMPINHO, 9 587,3,11,34,24,39,17,23,20,13,30,23,12,7,3,1,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,
QUINTINO BOCAIUVA, 36 555,5,8,36,28,26,30,39,56,35,47,31,20,12,10,6,9,7,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,1,0,2,
CAVALCANTI, 16 952,1,13,11,12,18,17,5,12,17,18,12,7,2,6,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,6,6,1,1,0,
ENGENHEIRO LEAL, 6 654,0,1,1,1,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CASCADURA, 33 842,14,20,80,53,48,60,35,58,44,84,62,42,29,13,11,3,4,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,1,1,
MADUREIRA, 52 093,24,64,107,91,108,88,62,46,39,119,101,76,42,19,20,6,3,3,4,0,1,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,6,1,2,1,4,4,7,2,
VAZ LOBO, 10 885,8,10,23,17,18,20,9,7,11,20,13,12,4,3,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
TURIAÇU, 16 459,0,2,8,6,10,7,9,2,7,9,13,8,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ROCHA MIRANDA, 42 677,6,9,38,41,32,47,45,27,36,44,45,20,16,6,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,5,0,0,
HONÓRIO GURGEL, 21 491,11,21,31,32,22,16,28,8,9,22,24,11,5,5,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,3,0,2,
OSWALDO CRUZ, 35 985,13,27,48,29,49,37,35,20,24,22,40,27,17,9,4,4,3,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,1,
BENTO RIBEIRO, 46 621,15,27,68,30,48,52,40,24,29,44,43,51,17,11,10,4,2,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,1,0,3,1,2,6,2,
MARECHAL HERMES, 51 335,13,36,61,34,59,44,32,30,40,51,46,42,24,19,10,4,1,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,0,1,0,0,0,1,0,0,2,0,0,5,1,4,4,1,3,
XXII ANCHIETA, 168 291,  17,  126,  227,  161,  125,  100,  92,  88,  162,  274,  191,  121,  83,  49,  25,  18,  14,  12,  9,  12,  3,  4,  2,  0,  1,  3,  2,  0,  1,  2,  0,  1,  2,  1,  0,  0,  0,  5,  0,  0,  0,  2,  0,  2,  4,  4,  3,  8,  2,  6,  1,  2,
GUADALUPE, 48 778,13,62,120,79,61,32,22,25,60,108,67,41,23,13,5,6,5,4,1,4,0,4,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,2,0,0,0,1,0,1,2,1,1,4,1,2,1,0,
ANCHIETA, 60 323,4,48,68,54,43,51,52,42,69,136,102,58,53,20,16,9,7,6,6,5,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,3,2,4,1,3,0,2,
PARQUE ANCHIETA, 29 079,0,1,6,7,2,2,4,4,7,7,7,7,1,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RICARDO DE ALBUQUERQUE, 30 111,0,15,33,21,19,15,14,17,26,23,15,15,6,11,3,2,1,2,2,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
XXV PAVUNA, 222 046,  12,  62,  154,  137,  84,  105,  77,  69,  94,  162,  195,  118,  56,  43,  31,  11,  16,  8,  9,  7,  4,  3,  0,  1,  1,  1,  0,  1,  0,  0,  0,  1,  0,  2,  0,  0,  0,  1,  0,  0,  0,  0,  2,  1,  3,  3,  6,  9,  3,  2,  2,  1,
COELHO NETO, 30 325,3,11,23,23,14,16,10,14,17,31,23,13,2,8,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
ACARI, 26 869,0,10,20,20,14,17,14,4,17,20,32,15,8,6,1,0,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,
BARROS FILHO, 13 688,1,2,10,3,5,6,11,9,10,13,8,5,6,2,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
COSTA BARROS, 41 901,2,14,47,36,21,20,11,21,24,49,45,26,13,7,9,0,4,3,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,
PAVUNA, 109 264,6,25,54,55,30,46,31,21,26,49,87,59,27,20,15,9,6,3,3,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,3,0,0,2,1,
PARQUE COLUMBIA, 9 194,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
ÁREA DE PLANEJAMENTO 4, 833 965,  248,  556, 1 189, 2 252, 2 063, 2 540, 1 724, 2 641, 2 123, 2 938, 3 154, 2 095, 1 451,  743,  424,  337,  206,  152,  148,  38,  9,  11,  3,  6,  3,  2,  3,  2,  0,  2,  3,  0,  0,  1,  0,  0,  2,  2,  2,  7,  10,  11,  15,  16,  19,  40,  63,  79,  71,  48,  33,  25,
XVI JACAREPAGUA, 528 236,  197,  425,  931, 1 726, 1 538, 1 783, 1 303, 1 954, 1 538, 2 144, 2 234, 1 445, 1 011,  557,  298,  224,  117,  93,  89,  24,  4,  9,  3,  3,  1,  2,  0,  1,  0,  2,  1,  0,  0,  0,  0,  0,  2,  1,  1,  5,  8,  7,  13,  13,  16,  30,  57,  66,  42,  35,  26,  22,
JACAREPAGUA, 133 264,18,53,127,308,263,318,172,296,176,250,379,221,142,77,38,40,19,16,10,9,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3,2,1,7,9,7,1,1,2,
ANIL, 24 143,16,18,82,138,101,106,102,219,179,314,258,181,172,85,62,48,22,19,25,8,1,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,1,4,5,5,3,4,6,3,4,1,
GARDÊNIA AZUL, 29 292,9,8,56,102,93,112,111,133,84,125,176,125,76,39,12,9,7,7,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,2,4,1,0,
CURICICA, 27 431,32,100,186,305,281,426,211,304,292,414,398,238,136,61,24,25,16,13,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,2,3,1,7,7,5,6,1,5,
FREGUESIA (JACAREPAGUA), 56 254,17,42,56,119,125,144,105,133,117,186,163,111,83,40,21,23,10,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,2,1,3,3,2,2,4,
PECHINCHA, 33 294,7,20,37,72,42,42,51,75,74,69,62,48,31,16,16,10,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,5,2,2,4,0,
TAQUARA, 95 565,52,111,250,429,341,386,317,427,284,396,418,261,210,110,65,42,24,17,16,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,11,13,10,9,1,5,6,
TANQUE, 33 477,19,23,36,85,91,69,62,104,85,81,91,51,31,36,18,8,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,5,3,2,5,2,2,
PRAÇA SECA, 61 770,20,27,61,121,155,128,144,215,210,253,245,168,108,77,32,11,7,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,5,10,14,6,11,6,0,
VILA VALQUEIRE, 33 745,7,23,40,47,46,52,28,48,37,56,44,41,22,16,10,8,3,2,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,2,
XXXIV CIDADE DE DEUS, 37 423,21,52,109,264,251,334,202,233,132,216,235,125,56,35,18,9,8,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,5,2,3,7,5,0,0,
CIDADE DE DEUS, 37 423,21,52,109,264,251,334,202,233,132,216,235,125,56,35,18,9,8,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,5,2,3,7,5,0,0,
XXIV BARRA DA TIJUCA, 268 306,  30,  79,  149,  262,  274,  423,  219,  454,  453,  578,  685,  525,  384,  151,  108,  104,  81,  55,  57,  14,  5,  1,  0,  3,  2,  0,  3,  1,  0,  0,  2,  0,  0,  1,  0,  0,  0,  1,  1,  2,  0,  4,  1,  1,  3,  5,  4,  10,  22,  8,  7,  3,
JOÁ, 1 138,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ITANHANGA, 37 114,3,8,9,12,14,27,25,41,48,55,85,54,54,27,17,13,8,6,12,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,
BARRA DA TIJUCA, 119 318,7,27,46,82,71,122,61,120,83,135,172,119,100,35,31,25,21,10,23,3,3,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,3,0,3,4,4,4,1,
CAMORIM, 3 027,3,7,5,3,4,13,11,16,25,19,10,11,6,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
VARGEM PEQUENA, 25 586,5,10,25,40,67,100,58,74,81,70,94,64,27,23,8,8,7,6,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,
VARGEM GRANDE, 11 552,2,6,18,35,38,53,21,59,56,76,67,67,39,19,13,9,7,5,8,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,1,1,0,
RECREIO DOS BANDEIRANTES, 70 393,10,21,46,90,80,108,43,144,158,223,257,210,158,42,36,48,37,28,11,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,1,4,4,11,0,1,0,
GRUMARI,  180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ÁREA DE PLANEJAMENTO 5.1, 697 226,  60,  190,  579,  858,  773,  633,  497,  361,  475, 1 134,  993,  610,  303,  222,  120,  76,  46,  20,  13,  8,  1,  4,  1,  2,  2,  1,  0,  2,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0,  4,  0,  6,  4,  7,  7,  8,  22,  24,  27,  25,  14,  8,  12,
XXXIII REALENGO, 245 342,  25,  78,  134,  193,  165,  168,  120,  125,  154,  298,  281,  175,  91,  78,  34,  30,  26,  4,  6,  3,  1,  0,  1,  2,  2,  1,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  3,  0,  2,  1,  5,  3,  5,  14,  15,  19,  12,  9,  6,  12,
DEODORO, 11 440,3,13,32,20,16,20,9,16,18,31,28,16,7,3,1,4,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,2,1,
VILA MILITAR, 14 253,0,0,0,1,1,5,0,1,2,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
CAMPO DOS AFONSOS, 1 505,0,0,1,1,0,0,1,0,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JARDIM SULACAP, 12 595,5,9,15,22,16,25,16,11,13,42,37,25,15,10,3,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,5,1,0,
MAGALHÃES BASTOS, 25 487,1,11,17,31,21,27,11,17,26,33,40,22,12,14,3,6,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,4,
REALENGO, 180 063,16,45,69,118,111,91,83,80,94,183,170,111,57,51,27,18,16,1,4,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,1,5,0,4,9,10,13,7,3,3,7,
XVII BANGU, 451 884,35,112,445,665,608,465,377,236,321,836,712,435,212,144,86,46,20,16,7,5,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,4,3,2,4,3,8,9,8,13,5,2,0,
PADRE MIGUEL, 65 620,4,23,53,95,35,51,26,30,69,152,123,97,43,31,25,20,7,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,3,3,1,0,
BANGU, 265 607,28,56,278,417,423,293,262,149,159,440,361,210,108,76,40,16,11,11,4,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,3,5,6,2,6,1,1,0,
SENADOR CAMARÁ, 120 657,3,33,114,153,150,121,89,57,93,244,228,128,61,37,21,10,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,3,1,1,4,1,0,0,
ÁREA DE PLANEJAMENTO 5.2, 718 074,  62,  153,  418,  473,  527,  893,  859,  937, 1 186, 1 399, 1 264,  983,  627,  607,  303,  182,  101,  67,  35,  19,  7,  0,  2,  4,  1,  1,  2,  0,  0,  0,  0,  0,  2,  0,  0,  1,  0,  1,  0,  1,  3,  2,  2,  7,  3,  1,  4,  6,  4,  4,  0,  3,
XVIII CAMPO GRANDE, 570 703,  44,  125,  359,  392,  478,  799,  784,  804, 1 004, 1 083,  983,  645,  453,  379,  169,  118,  65,  34,  19,  12,  4,  0,  1,  2,  1,  0,  2,  0,  0,  0,  0,  0,  2,  0,  0,  1,  0,  1,  0,  1,  0,  2,  1,  7,  3,  1,  0,  3,  1,  1,  0,  2,
SANTÍSSIMO, 42 648,4,20,38,60,51,74,40,55,78,143,96,46,32,20,13,8,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,1,0,2,
CAMPO GRANDE, 352 482,31,77,232,255,267,555,559,537,715,809,812,502,369,315,135,96,52,31,19,10,4,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,2,1,0,2,1,0,0,0,
SENADOR VASCONCELOS, 31 178,0,4,2,3,4,3,5,8,8,11,6,9,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INHOAÍBA, 82 006,5,15,35,37,41,39,34,46,54,32,33,21,15,12,3,4,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
COSMOS, 76 489,4,9,52,37,115,128,146,158,149,88,36,67,33,27,17,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
XXVI GUARATIBA, 147 371,  18,  28,  59,  81,  49,  94,  75,  133,  182,  316,  281,  338,  174,  228,  134,  64,  36,  33,  16,  7,  3,  0,  1,  2,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  3,  0,  1,  0,  0,  0,  4,  3,  3,  3,  0,  1,
GUARATIBA, 131 065,6,19,30,37,28,46,38,77,104,153,80,112,78,79,58,32,22,12,7,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,
BARRA DE GUARATIBA, 4 513,2,0,4,2,1,13,11,9,16,20,23,16,9,7,9,6,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
PEDRA DE GUARATIBA, 11 793,10,9,25,42,20,35,26,47,62,143,178,210,87,142,67,26,12,19,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,1,1,0,0,
ÁREA DE PLANEJAMENTO 5.3, 358 475,  76,  206,  802, 1 556, 1 846, 1 628, 1 800, 2 467, 2 279, 2 431, 2 475, 2 018, 1 202,  958,  590,  356,  191,  56,  31,  26,  12,  4,  3,  5,  2,  9,  4,  3,  0,  3,  1,  1,  1,  0,  1,  0,  0,  2,  0,  1,  0,  1,  2,  0,  6,  3,  2,  5,  3,  4,  1,  1,
XIX SANTA CRUZ, 358 475,  76,  206,  802, 1 556, 1 846, 1 628, 1 800, 2 467, 2 279, 2 431, 2 475, 2 018, 1 202,  958,  590,  356,  191,  56,  31,  26,  12,  4,  3,  5,  2,  9,  4,  3,  0,  3,  1,  1,  1,  0,  1,  0,  0,  2,  0,  1,  0,  1,  2,  0,  6,  3,  2,  5,  3,  4,  1,  1,
